Brazil                                                                    ,20330,20085,20333,20500,0.30%
Indonesia                                                              ,3900,4167,4333,4500,4.90%
Ethiopia                                                             ,3400,3650,3675,3700,2.90%
Philippines                                                          ,2325,2550,2800,3000,8.90%
Mexico                                                                 ,2354,2354,2354,2354,0.00%
Vietnam                                                                 ,1825,2000,2200,2300,8.00%
India                                                                       ,2000,2100,2200,2250,4.00%
Colombia                                                                ,1441,1469,1505,1672,5.10%
Venezuela                                                              ,1650,1650,1650,1650,0.00%
Thailand                                                                 ,1130,1200,1250,1300,4.80%
Costa Rica                                                                ,423,335,381,436,1.00%
Guatemala                                                                ,360,370,380,390,2.70%
Madagascar                                                              ,430,410,390,390,-3.20%
Dominican Republic                                                  ,378,383,388,388,0.90%
Honduras                                                                  ,345,345,345,345,0.00%
Haiti                                                                           ,340,340,340,340,0.00%
Côte d'Ivoire                                                              ,317,317,317,317,0.00%
El Salvador                                                               ,277,275,280,285,1.00%
Peru                                                                          ,250,250,250,250,0.00%
Uganda                                                                     ,216,221,229,234,2.70%
Others                                                                    ,1624,1637,1645,1662,0.80%
