Created by Online2PDF.com,,,,,,
"World coffee consumption
In thousand 60kg bags",,,,,,
,2012/13,2013/14,2014/15,2015/16                      CAGR (2012/13 - 2015/16),,
World total,146 977,149 039,151 822,155 713                         1.9%,,
Africa,10 470,10 594,10 739,10 746                        0.9%,,
Asia & Oceania,29 459,30 714,32 602,33 665                        4.5%,,
Central America & Mexico,5 200,5 158,5 240,5 311                        0.7%,,
Europe,50 028,50 177,50 908,51 802                        1.2%,,
North America,26 778,27 714,27 372,28 876                        2.5%,,
South America,25 042,24 682,24 962,25 313                        0.4%,,
Exporting countries,,,,,,
(Crop years)                                                       45 315,,46 108,47 245,48 263,2.1%,
Brazil                                                                    20 330,,20 085,20 333,20 500,0.3%,
Indonesia                                                               3 900,,4 167,4 333,4 500,4.9%,
Ethiopia                                                                  3 400,,3 650,3 675,3 700,2.9%,
Philippines                                                             2 325,,2 550,2 800,3 000,8.9%,
Mexico                                                                    2 354,,2 354,2 354,2 354,0.0%,
Vietnam                                                                  1 825,,2 000,2 200,2 300,8.0%,
India                                                                       2 000,,2 100,2 200,2 250,4.0%,
Colombia                                                                1 441,,1 469,1 505,1 672,5.1%,
Venezuela                                                              1 650,,1 650,1 650,1 650,0.0%,
Thailand                                                                 1 130,,1 200,1 250,1 300,4.8%,
Costa Rica                                                                423,,335,381,436,1.0%,
Guatemala                                                                360,,370,380,390,2.7%,
Madagascar                                                              430,,410,390,390,-3.2%,
Dominican Republic                                                  378,,383,388,388,0.9%,
Honduras                                                                  345,,345,345,345,0.0%,
Haiti                                                                           340,,340,340,340,0.0%,
Côte d'Ivoire                                                              317,,317,317,317,0.0%,
El Salvador                                                               277,,275,280,285,1.0%,
Peru                                                                          250,,250,250,250,0.0%,
Uganda                                                                     216,,221,229,234,2.7%,
Others                                                                    1 624,,1 637,1 645,1 662,0.8%,
"Importing countries
(Coffee years: October - September)            101 662",,102 931,104 577,107 450,1.9%,
European Union                                                   41 662,,41 456,42 426,42 887,1.0%,
USA                                                                     23 268,,23 901,23 743,25 341,2.9%,
Japan                                                                     7 353,,7 501,7 594,7 790,1.9%,
Russian Federation                                               3 521,,3 948,3 846,4 303,6.9%,
Canada                                                                  3 510,,3 813,3 629,3 535,0.2%,
Algeria                                                                    2 123,,2 147,2 154,2 154,0.5%,
South Korea                                                           1 748,,1 873,1 963,1 980,4.2%,
Australia                                                                 1 564,,1 543,1 713,1 770,4.2%,
Saudi Arabia                                                          1 256,,1 320,1 566,1 643,9.4%,
Turkey                                                                       821,,892,1 078,1 106,10.4%,
Ukraine                                                                  1 313,,1 246,1 106,1 069,-6.6%,
Switzerland                                                            1 054,,1 011,1 052,1 069,0.5%,
Norway                                                                      730,,764,765,774,2.0%,
Sudan                                                                       700,,716,690,690,-0.5%,
Argentina                                                                  789,,619,610,627,-7.4%,
Egypt                                                                         658,,529,564,597,-3.2%,
South Africa                                                              496,,517,574,590,6.0%,
Morocco                                                                    634,,568,574,583,-2.8%,
Lebanon                                                                    564,,588,580,580,0.9%,
Taiwan                                                                      462,,505,556,570,7.3%,
Others                                                                    7 436,,7 475,7 796,7 791,1.6%,
© International Coffee Organization,,,,,,
Data as at January 2017 - next update April 2017,,,,,,
